,participant_id,task_idx,task_status,results_responses,results_rt,results_ind_previous,results_targetvalue
16,87,7,PRE_TEST,"0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,0",",,384,399,,482,416,434,,,450,450,,,450,,500,,,,467,484,,,467,,534,434,,467,,,450,,483,466,,434,483,,482,,,500,450,","1,3,1,4,1,6,0,6,4,5,3,6,6,1,4,2,0,1,0,3,3,1,0,3,2,1,1,2,5,1,3,1,3,0,1,2,0,4,0,5,2,0,6,3,4,2","8,2,3,3,5,3,3,3,1,4,3,3,9,6,3,8,3,3,1,8,3,3,1,1,3,1,3,3,5,3,9,8,3,2,3,3,5,3,3,8,3,8,9,3,3,6"
17,87,7,POST_TEST,"1,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,0,0,1,1","416,,450,,,500,,,468,548,,,,467,,,533,517,500,,,467,,,,467,433,,,500,433,533,484,484,,499,,,533,467","4,4,3,6,0,1,3,5,1,1,1,1,1,1,5,1,4,0,1,5,0,4,1,3,2,4,2,3,1,4,4,1,2,1,0,5,0,2,3,6","3,1,3,9,1,3,9,6,3,3,6,2,4,3,1,1,3,3,3,2,5,3,4,1,9,3,3,1,5,3,3,3,3,3,8,3,6,4,3,3"
18,90,3,PRE_TEST,"0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0",",,600,567,,,633,,734,600,,601,,,,667,600,633,633,,634,,733,600,,634,,,700,,,,617,633,,,617,,,600,633,669,,666,","6,4,6,5,3,3,6,3,6,5,2,6,0,1,3,0,6,3,5,5,2,6,5,5,5,5,3,4,1,3,0,3,5,3,5,2,5,2,5,5,6,6,2,4,5","6,1,3,3,4,6,3,1,3,3,5,3,5,2,8,3,3,3,3,2,3,5,3,3,3,3,2,8,3,1,8,8,3,3,1,4,3,1,1,3,3,3,2,3,9"
19,90,3,POST_TEST,"1,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1","534,566,583,,,550,599,,,567,,,,,583,600,567,,,,534,,600,,667,600,517,,,900,517,,583,584,,534,,,,,517,,567,633,616,,567","0,3,0,1,0,5,4,5,6,6,6,0,6,1,4,4,1,4,2,6,5,4,6,1,2,6,3,0,4,5,1,0,2,3,6,5,4,5,6,6,1,3,3,1,5,0,4","3,3,3,4,9,3,3,2,1,3,5,1,4,4,3,3,3,1,4,4,3,2,3,6,3,3,3,9,8,3,3,2,3,3,4,3,6,4,9,8,3,9,3,3,3,1,3"
20,96,6,PRE_TEST,"0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,0",",500,499,,,583,,566,548,733,,615,665,565,,,499,,,,599,615,,,664,649,532,,515,533,,,,632,565,,,,582,,532,599,,","6,5,2,6,2,5,4,4,3,5,4,6,6,5,0,2,5,6,1,6,6,3,5,6,1,6,3,4,0,2,0,2,3,5,0,4,5,1,3,5,0,2,1,2","9,3,3,8,6,3,5,3,3,3,9,3,3,3,6,4,3,5,1,6,3,3,4,2,3,3,3,4,3,3,3,5,2,3,3,5,1,1,3,8,3,3,8,4"
21,96,6,POST_TEST,"0,0,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1",",,464,,,483,582,500,,515,565,,482,,515,,,498,582,532,,,698,482,,,532,,,599,565,548,,581,,,,697,698","4,2,6,4,5,5,2,5,3,5,1,5,1,6,3,1,1,5,0,2,5,5,5,5,1,4,0,6,4,6,0,4,5,6,1,0,1,3,2","9,8,3,1,5,3,3,3,5,3,3,9,3,6,3,9,2,3,3,3,6,6,3,3,8,8,3,8,4,3,3,3,4,3,9,2,2,3,3"
22,97,3,PRE_TEST,"0,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0",",484,567,634,,617,,534,533,,583,585,533,,,,,,667,601,751,,,,584,517,533,734,667,,,,584,,,568,,600,517,550,,","1,5,3,5,0,0,1,0,3,5,6,5,2,5,4,2,1,5,3,6,4,4,0,1,0,4,0,1,3,1,0,3,0,2,1,5,6,2,5,6,3,4","2,3,3,3,1,3,8,3,3,5,3,3,3,9,5,1,8,6,3,3,3,1,5,1,3,3,3,3,3,8,9,1,3,8,1,3,1,3,3,3,4,2"
23,116,2,PRE_TEST,"0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,0,1,0,0,1,0",",433,,416,,449,467,,,466,,399,,,,449,467,416,,417,,450,,466,483,,,483,,1016,466,,483,,483,,,533,466,483,,,533,,,516,","4,2,2,4,5,0,2,5,4,3,3,0,1,1,1,6,0,1,4,3,3,0,4,4,0,4,4,1,6,1,6,2,3,1,2,3,3,0,3,3,4,0,3,3,1,1,2","2,3,4,3,5,3,3,9,6,3,2,3,9,2,4,3,3,3,6,3,9,3,5,3,3,8,5,3,8,3,3,4,3,3,3,1,4,3,3,3,2,6,3,1,2,3,5"
24,116,2,POST_TEST,"0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1",",,433,,483,,499,433,,,,,,433,416,500,449,,466,,,466,,,450,,433,449,,,483,466,,,533,450,400,,,,,450","3,6,2,5,6,1,5,1,5,3,2,5,1,5,1,5,1,1,2,1,2,5,1,2,2,2,3,4,1,4,6,0,1,4,6,6,2,5,4,4,3,3","9,1,3,1,3,1,3,3,1,9,1,6,3,3,3,3,3,5,3,8,1,3,5,5,3,5,3,3,1,9,3,3,4,5,3,3,3,5,5,6,8,3"
25,140,2,PRE_TEST,"1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1","432,466,399,,434,394,,,,399,,,417,,416,,416,,,400,383,383,,383,,416,,,,416,433,416,466,,383,,433,,366,,,,417,,466,417","1,3,3,5,4,3,1,6,6,5,0,1,6,1,2,4,4,5,1,3,5,3,3,0,5,4,1,4,1,0,5,3,3,2,2,4,3,3,0,1,5,6,4,1,6,4","3,3,3,5,3,3,5,2,8,3,4,4,3,9,3,4,3,9,8,3,3,3,1,3,9,3,5,9,8,3,3,3,3,6,3,9,3,1,3,1,8,1,3,5,3,3"
26,140,2,POST_TEST,"0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1",",,433,433,,417,450,,,449,,500,533,450,,,,,,450,,,484,,449,516,467,,,,,482,467,499,,,516,,450,466,,,417,483,,500","3,0,1,2,0,5,1,2,0,1,3,3,1,5,2,5,2,0,5,2,4,5,2,2,3,4,1,2,3,3,4,2,6,5,0,1,0,1,5,0,1,4,2,0,4,3","8,4,3,3,9,3,3,9,4,3,8,3,3,3,9,1,4,8,6,3,2,1,3,6,3,3,3,8,6,5,9,3,3,3,1,3,3,5,3,3,4,4,3,3,6,3"
27,158,5,PRE_TEST,"1,2,1,1,1,2,0,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0","400,433,516,583,567,616,,,583,,600,566,,550,,,533,,534,517,534,533,,,,550,,533,600,,,517,,,549,600,,550,,567,,550,,","5,5,5,6,5,1,0,0,3,3,3,3,3,0,3,0,1,0,1,1,0,6,0,1,2,5,0,1,3,0,5,4,1,4,4,4,0,2,4,2,6,1,5,6","3,9,3,3,3,1,9,9,3,9,3,3,1,3,1,1,3,8,3,3,3,3,4,2,9,3,1,3,3,2,5,3,5,2,3,3,6,3,6,3,6,3,8,4"
28,158,5,POST_TEST,"0,1,0,1,0,0,1,0,1,1,0,0,1,2,0,1,1,1,0,0,1,2,2,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0",",500,,516,,,534,,467,483,,,500,417,,500,499,483,,,550,401,433,567,,499,500,699,,,,,500,517,,567,499,567,,534,567,","6,4,2,3,6,0,2,1,0,5,0,0,4,2,0,5,1,1,4,6,1,5,6,1,2,4,1,1,2,1,3,4,3,6,0,2,1,4,5,6,1,4","9,3,4,3,8,9,3,2,3,3,5,8,3,9,6,3,3,3,2,1,3,1,8,3,1,3,3,3,9,5,2,8,3,3,6,3,3,3,8,3,3,9"
