id,participant,date,secondary_task,episode_number,n_distractors,n_targets,angle_max,angle_min,radius,speed_min,speed_max,RSI,SRI_max,presentation_time,fixation_time,tracking_time,probe_time,nb_target_retrieved,nb_distract_retrieved,id_session,finished_session
11530,laetitia-teo,2020-11-12 23:00:00+00:00,none,3553,5,3,9,3,40,6.0,6.0,1.0,2.0,1.0,1.0,4.5,2.2,3,5,0,False
11529,laetitia-teo,2020-11-12 23:00:00+00:00,none,3552,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11528,laetitia-teo,2020-11-12 23:00:00+00:00,none,3551,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11527,laetitia-teo,2020-11-12 23:00:00+00:00,none,3550,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11526,laetitia-teo,2020-11-12 23:00:00+00:00,none,3549,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11525,laetitia-teo,2020-11-12 23:00:00+00:00,none,3548,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11524,laetitia-teo,2020-11-12 23:00:00+00:00,none,3547,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11523,laetitia-teo,2020-11-12 23:00:00+00:00,none,3546,5,2,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2,5,0,False
11522,laetitia-teo,2020-11-12 23:00:00+00:00,none,3545,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11521,laetitia-teo,2020-11-12 23:00:00+00:00,none,3544,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11520,laetitia-teo,2020-11-12 23:00:00+00:00,none,3543,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11519,laetitia-teo,2020-11-12 23:00:00+00:00,none,3542,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11518,laetitia-teo,2020-11-12 23:00:00+00:00,none,3541,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11517,laetitia-teo,2020-11-12 23:00:00+00:00,none,3540,5,2,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2,5,0,False
11516,laetitia-teo,2020-11-12 23:00:00+00:00,none,3539,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11515,laetitia-teo,2020-11-12 23:00:00+00:00,none,3538,5,2,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2,5,0,False
11514,laetitia-teo,2020-11-12 23:00:00+00:00,none,3537,5,4,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4,5,0,False
11513,laetitia-teo,2020-11-12 23:00:00+00:00,none,3536,3,2,9,3,40,2.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,2,3,0,False
